author name,tokenized_sentence
Humayun Ahmed,তুই বানিয়েছিস?
Humayun Ahmed,কবি ভারতচন্দ্র লিখেছেন।
Humayun Ahmed,উপবতী প্রায় দেখলে উনার মাথা ঠিক থাকত না।
Humayun Ahmed,নিজে বিয়ে করেছিলেন এর ভড়কা রাক্ষশীকে।
Humayun Ahmed,ধুমসি আলুর বস্তা।
Humayun Ahmed,গাত্র বর্ণ পাতিল কালো ।
Humayun Ahmed,দু'টা দাঁত খরগোসের স্নাত সব সময় ঠোঁটের বাইরে ।
Humayun Ahmed,ভারতবাবু এই মেয়েকে বিয়ে কখন কেন ?
Humayun Ahmed,মহিলার উচ্চবংশ বলে বিয়ে ধরেছিলেন কবিরা আবার বংশের দিকে দুর্বল।
Humayun Ahmed,রাক্ষুসীর কথা বাদ দে এলিক্স মেয়েটাকে বিয়ে করবি?
Humayun Ahmed,"ধান্দাবাজি না, এক কথায় জবাব দে।"
Humayun Ahmed,হ্যাঁ না-কি না!
Humayun Ahmed,পরীর নাম এলিতা?
Humayun Ahmed,হুঁ।
Humayun Ahmed,"বাবা-মা রাশিয়ান, এলিভা জন্মসূত্রে আমেরিকান।"
Humayun Ahmed,ফটোগ্রাফির উপর কোর্স করেছে।
Humayun Ahmed,বাংলাদেশে আসার দিন ছবি তুলতে।
Humayun Ahmed,নাম The Food . ঢাকায় আসবে ডিসেম্বরের শেষ সপ্তাহে তুই হবি তার গাইড।
Humayun Ahmed,"আমিতো ইংরেজিই জানি না
গাইড হব কি ভাবে?"
Humayun Ahmed,"খালা বললেন, ঐ মেয়ে টিচার রেখে বাংলা শিখে তারপর আসছে।"
Humayun Ahmed,ওরা যা করে সিরিয়াসলি করে।
Humayun Ahmed,তোর মত অকারণে রাস্তায় খালি পায়ে হাঁটে না।
Humayun Ahmed,বাংলাদেশে আসবে তাই বাংলা শিখেছে।
Humayun Ahmed,তার চায়না যাওয়ার প্রোগ্রাম থাকলে চায়নিজ শিখতো।
Humayun Ahmed,রশিয়ান ভাষা সে জানে ।
Humayun Ahmed,"আমি খালাকে থামিয়ে দিয়ে বললাম, স্যুট লাল টাই কোথায় পাব?"
Humayun Ahmed,"খালা বললেন, ড্রেস নিয়ে তোকে চিন্তা করতে হবে না।"
Humayun Ahmed,তোর খালুর স্যুট টাই আমি আলাদা করে রেখেছি।
Humayun Ahmed,মাপে হবে না।
Humayun Ahmed,একটু উনিশ বিশ হবে।
Humayun Ahmed,কারো চোখে পরবে না।
Humayun Ahmed,আমার সামনে পরতো দেখি।
Humayun Ahmed,টাই এর নট বাঁধতে পারিস?
Humayun Ahmed,না।
Humayun Ahmed,আমি বেঁধে দিচ্ছি।
Humayun Ahmed,শিখে নে ।
Humayun Ahmed,এখন পরতে হবে?
Humayun Ahmed,হ্যাঁ।
Humayun Ahmed,তোর খালু বাসায় ফেরার আগেই স্যুট টাই নিয়ে বিদায় হয়ে যা ।
Humayun Ahmed,এখন থেকে সারাক্ষণ স্যুট টাই পরে থাকবি।
Humayun Ahmed,নয়তো আসল দিনে ঝামেলায় পরবি গা কুটকুট করবে।
Humayun Ahmed,টাই গলায় ফাঁসের মত লাগবে ।
Humayun Ahmed,স্যুট টাই পরলাম।
Humayun Ahmed,"খালা বললেন, কোটটা সামান্য লুজফিটিং হয়েছে।"
Humayun Ahmed,এটাই ভাল ।
Humayun Ahmed,আজকাল লুজফিটিং-এর চল।
Humayun Ahmed,যা আয়নার সামনে দাঁড়িয়ে দেখ তোকে কি সুন্দর মানিয়েছে।
Humayun Ahmed,তোর চেহারা যে এত সুন্দর আগে খেয়াল করিনি ।
Humayun Ahmed,আমি আয়নার সামনে দাঁড়িয়ে দেখি-নকল হিমু।
Humayun Ahmed,আয়নার হিমুকে মনে হচ্ছে এই হিমু ব্রিফকেস নিয়ে ঘুরে।
Humayun Ahmed,"সে বিরাট ধান্দাবাজ, সন্ধ্যাবেলা ক্লাবে যায়, বোতল খায় ৷খালা বললেন, নিজেকে দেখেতো মুগ্ধ হয়ে গেছিস।"
Humayun Ahmed,"পুরুষ মানুষকে বেশিক্ষণ আয়নায় নিজেকে দেখতে হয় না, চরিত্র খারাপ হয় ।"
Humayun Ahmed,এখন জুতা পর ।
Humayun Ahmed,জুতা ফিট করে কি-না দেখি ৷অনেক চেষ্টা করেও জুতা পায়ে ঢুকানো গেল না।
Humayun Ahmed,"মোজাসহ, মোজা ছাড়া নানানভাবে চেষ্টা করা হল ।"
Humayun Ahmed,"খালা বললেন, টাকা দিচ্ছি একজোড়া জুতা কিনে নিবি।"
Humayun Ahmed,ব্ল্যাক সু কিনবি।
Humayun Ahmed,নিচে গাড়ি আছে।
Humayun Ahmed,গাড়ি নিয়ে তোর খালুর এই স্যান্ডেলটা পড়ে চলে যা।
Humayun Ahmed,জুতার দোকানে গাড়ি থেকে নামবি।
Humayun Ahmed,কিছুক্ষণ স্যান্ডেল পরা থাকলে কিছু হবে না ।
Humayun Ahmed,আমি গাড়ি এবং স্যান্ডেল ছাড়াই বের হলাম।
Humayun Ahmed,হিমুর কিছুটা আমার মধ্যে থাকুক ।
Humayun Ahmed,স্যুট টাইয়ের সঙ্গে খালি পা ।
Humayun Ahmed,ঢাকা শহর বদলে গেছে।
Humayun Ahmed,কিভাবে বদলেছে কতটুকু বদলেছে?
Humayun Ahmed,"আমি বললাম, ভাষাবিধ পণ্ডিত পরী বিয়ে করা বিপদজনক তারপর তুমি যখন বলছ বিয়ে করব।"
Humayun Ahmed,বিয়ে কি মেয়ে ঢাকায় পৌঁছার পরপরই হবে?
Humayun Ahmed,মেয়ে জানে যে আমাকে বিয়ে করছে?
Humayun Ahmed,মেয়ে কিছুই জানে না।
Humayun Ahmed,তুই সারাক্ষণ মেয়ের সঙ্গে থাকবি।
Humayun Ahmed,তোর উদ্ভট উদ্ভট কথাবার্তা শুনে মেয়ে তোর প্রেমে পড়ে যাবে।
Humayun Ahmed,প্রেম একটু গাঢ় হলেই আমি কাজি ডেকে বিয়ে দিয়ে দেব।
Humayun Ahmed,তুই মেয়ের হাত ধরে চলে যাবি আমেরিকা ৷ তোর একটা গতি হয়ে যাবে।
Humayun Ahmed,এখন বুঝেছিস আমার প্ল্যান ।
Humayun Ahmed,এই মেয়ের সঙ্গে তুমি জুটলে কি ভাবে?
Humayun Ahmed,ইন্টারনেটে।
Humayun Ahmed,এলিতা আমার ফেসবুক ফ্রেন্ড।
Humayun Ahmed,তার বয়স একুশ।
Humayun Ahmed,তার একটাই দুঃখ এখনো না-কি সে কোনো বুদ্ধিমান ছেলে দেখে নি।
Humayun Ahmed,তার কাছে পুরুষ মানেই গাধা ।
Humayun Ahmed,ছেলে সেজেছে কেন?
Humayun Ahmed,বাংলাদেশে আসবে এই জন্যে ছেলে সেজেছে।
Humayun Ahmed,ছেলে সেজেই আসবে।
Humayun Ahmed,যতদিন থাকবে ছেলে সেজে থাকবে ।
Humayun Ahmed,সে এক নিউজে শুনেছে গরিব দেশে শাদা চামড়ার মেয়ের একা যাওয়া মানেই গ্যং রেপড হওয়া ।
Humayun Ahmed,এলিতা ভেজিটেরিয়ান ।
Humayun Ahmed,সকালে কি নাস্তা খায় জানিস তিনটা কাঁচা ওকরা ।
Humayun Ahmed,ওকরা কি জিনিস?
Humayun Ahmed,ওকরা হল ঢ্যাস ।
Humayun Ahmed,দুপুরে কি খায়?
Humayun Ahmed,অর্ধেকটা কাঁচা লাউ?
Humayun Ahmed,হিমু ফাজলামি বন্ধ।
Humayun Ahmed,আমি এই মেয়েটার বিষয়ে সিরিয়াস।
Humayun Ahmed,আমি চাই তুইও সিরিয়াস হবি।
Humayun Ahmed,তোদের দু'জনের বিষয়টা মাথায় কিভাবে এসেছে জানিস?
Humayun Ahmed,স্বপ্নে পেয়েছ!
Humayun Ahmed,ও আল্লা!
Humayun Ahmed,সত্যিতো ।
Humayun Ahmed,কিভাবে বললি?
Humayun Ahmed,আসলেই স্বপ্নে পেয়েছি এলিতা যখন জানলো সে ঢাকায় আসছে তখনি স্বপ্নটা দেখলাম।
Humayun Ahmed,দুপুরে খাওয়া দাওয়া করে শুয়েছি।
Humayun Ahmed,হাতে গল্পের বই।
Humayun Ahmed,গল্প পড়তে পড়তে ঘুমিয়ে পড়েছি তখন স্বপ্নটা দেখলাম ।
Humayun Ahmed,একটা ঘোড়ার গাড়িতে করে তোরা দু'জন যাচ্ছিস।
Humayun Ahmed,পেছনে ব্যান্ডপার্টি।
Humayun Ahmed,তোর পরনে স্যুট টাই ।
Humayun Ahmed,এলিতার পাশে তোকে মোটেই বেমানান লাগছে না?
Humayun Ahmed,সুন্দর লাগছে।
Humayun Ahmed,এলিতা পড়েছে লাল জামদানি।
Humayun Ahmed,তোর গলার টাইটা লাল ।
Humayun Ahmed,ক) ঢাকা শহরের চলমান মানুষ এখন কেউ কারো দিকে তাকায় না।
Humayun Ahmed,আমি আধঘণ্টার উপর স্যুট পরে খালি পায়ে হাঁটছি কেউ বিষয়টা ধরতে পারছে না ।
Humayun Ahmed,কেউ আমার পায়ের দিকে তাকাচ্ছেই না ।
Humayun Ahmed,খ) ঢাকা শহরে মুচি সম্প্রদায় বলে এক সম্প্রদায় ছিল।
Humayun Ahmed,তারা প্রথমে তাকাতো পায়ের দিকে।
Humayun Ahmed,পায়ের জুতা স্যান্ডেলের অবস্থা দেখত।
Humayun Ahmed,তারপর তাকাতো মুখের দিকে ।
Humayun Ahmed,জুতা ওয়ান টাইম আইটেম হয়েছে বলে মুচি সম্প্রদায় বিলুপ্ত।
Humayun Ahmed,জুতার দিকে তাকিয়ে থাকার কেউ নেই ।
Humayun Ahmed,গ) ঢাকা শহরের মানুষের বিস্মিত হবার ক্ষমতা পুরোপুরি নষ্ট হয়ে গেছে।
Humayun Ahmed,দু'জন আমাকে আপাদমস্তক দেখেছে।
Humayun Ahmed,একজন দেখে হাই তুলল।
Humayun Ahmed,দ্বিতীয় জন পানের পিক ফেলে উদাস হয়ে গেল।
Humayun Ahmed,তবে শিশুদের মধ্যে বিস্মিত হবার ক্ষমতা কিছুটা এখনো আছে।
Humayun Ahmed,স্কুল ফেরত এক বালিকা অনেক ঝামেলা করে তার মা'র দৃষ্টি আমার খালি পায়ের দিকে ফেরাল।
Humayun Ahmed,বিড়বিড় করে কিছু বলল।
Humayun Ahmed,মা ধমক দিয়ে তাকে নিয়ে চলে যাচ্ছে।
Humayun Ahmed,বালিকা যাবে না।
Humayun Ahmed,কাজেই আমি এগিয়ে গেলাম।
Humayun Ahmed,"আন্তরিক ভঙ্গিতে বললাম, খুকি তোমার কি খবর?"
Humayun Ahmed,মেয়েটা সামাজিকতার ধার দিয়ে গেল না।
Humayun Ahmed,"অবাক হয়ে বলল, আপনার পায়ে জুতা নেই কেন?"
Humayun Ahmed,"আমি বললাম, আমি জুতা আবিষ্কারের আগের মানুষ বলে পায়ে জুতা নেই ।"
Humayun Ahmed,"মেয়ের মা তার হাত ধরে হ্যাঁচকা টান দিয়ে বললেন, তানিজা চলতো।"
Humayun Ahmed,"তানিজা বলল, খালি পায়ে হাঁটলে অসুখ হয় আমার টিচার বলেছেন।"
Humayun Ahmed,"আমি বললাম, তানিজা তাকিয়ে দেখ ঢাকা শহরের বেশির ভাগ ভিক্ষুক খালি পায়ে হাঁটে।"
Humayun Ahmed,এদের অসুখ হয় না ।
Humayun Ahmed,"মেয়ের মা আমার দিকে তাকিয়ে কঠিন গলায় বললেন, প্লীজ আমাদের বিরক্ত করবেন না।"
Humayun Ahmed,"আমি বললাম, বিরক্ত করছি না গল্প করছি।"
Humayun Ahmed,আপনি আমাকে দেখে ভয় পাচ্ছেন কেন?
Humayun Ahmed,আপনার কি ধারণা আপনার মেয়েকে আমি ছিনিয়ে নিয়ে যাব ।
Humayun Ahmed,সুরাইয়া অবাক হয়ে তার ছেলের দিকে তাকিয়ে আছে ।
Humayun Ahmed,ছেলের নাম ইমন।
Humayun Ahmed,বয়স পাঁচ বছর তিনমাস।
Humayun Ahmed,মাথা ভর্তি কোকড়ানো চুল ।
Humayun Ahmed,লম্বাটে ধরণের মুখ।
Humayun Ahmed,"মাঝে মাঝে সেই মুখ কোন এক বিচিত্র কারণে গোলগাল দেখায়, আজ দেখাচ্ছে।"
Humayun Ahmed,ইমন তার মায়ের বিস্মিত দৃষ্টির কারণ ধরতে পারছে না।
Humayun Ahmed,সে ভুরু কুঁচকে মায়ের দিকে তাকিয়ে আছে।
Humayun Ahmed,ভুরু কুঁচকানোর এই বদঅভ্যাস সে পেয়েছে তার বাবার কাছ থেকে ।
Humayun Ahmed,ইমনের বাবা হাসানুজ্জামান অতি তুচ্ছ কারণে ভুরু কুঁচকে ফেলেন।
Humayun Ahmed,সেই কুঁচকানো ভুরু সহজে মসৃন হয় না ।
Humayun Ahmed,"সুরাইয়া বলল, ইমন একটা কাজ কর।"
Humayun Ahmed,আমার শোবার ঘরে যাও।
Humayun Ahmed,ড্রেসিং টেবিলের আয়নাটার সামনে দাঁড়াও।
Humayun Ahmed,দাঁড়িয়ে সুন্দর করে হেসে আবার আমার কাছে চলে এসো ।
Humayun Ahmed,"ইমন বলল, কেন ?"
Humayun Ahmed,আমি যেতে বলছি এই জন্যে যাবে।
Humayun Ahmed,সব কিছুতে কেন কেন করবে না ।
Humayun Ahmed,"ইমন সরু গলায় বলল, সবকিছুতে কেন কেন করলে কি হয় ?"
Humayun Ahmed,"সুরাইয়া বিরক্ত গলায় বলল, খুব খারাপ হয়।"
Humayun Ahmed,বড়রা কোন কথা বললে কেন কেন না বলে সেই কথা শুনতে হয়।
Humayun Ahmed,তোমাকে আয়নার সামনে যেতে বলছি তুমি যাও।
Humayun Ahmed,আয়নার সামনে দাঁড়িয়ে খুব সুন্দর করে হসিবে।
Humayun Ahmed,"মনে থাকে
যেন ।"
Humayun Ahmed,হাসলে কি হবে ?
Humayun Ahmed,‘হাসলে খুব মজার একটা ব্যাপার হবে।’
Humayun Ahmed,ইমন আয়নার দিকে যাচ্ছে।
Humayun Ahmed,খুব যে আগ্রহের সঙ্গে যাচ্ছে তা না।
Humayun Ahmed,আয়নার সামনে দাঁড়িয়ে হাসলে মজার কিছু হবে বলে তার মনে হচ্ছে না।
Humayun Ahmed,বড়রা যে প্রায়ই অর্থহীন কথা বলে এই সত্য সে ধরতে শুরু করেছে।
Humayun Ahmed,ইমন আয়নার সামনে গেল ।
Humayun Ahmed,ঠোঁট টিপে ভুরু কুঁচকে নিজের দিকে তাকিয়ে রইল।
Humayun Ahmed,মা হাসতে বলেছেন।
Humayun Ahmed,না হাসলে মজার কিছু ঘটবে না।
Humayun Ahmed,কাজেই সে সামান্য হাসল ।
Humayun Ahmed,এত সামান্য যে ঠোঁট পর্যন্ত ফাঁক হল না।
Humayun Ahmed,মজার কিছু ঘটল না।
Humayun Ahmed,ঘটবে না তা সে জানতো।
Humayun Ahmed,বড়রা ছোটদের ভুলাবার জন্যে মিথ্যা কথাও বলে।
Humayun Ahmed,ইমন আয়নার সামনে থেকে সরে গেল।
Humayun Ahmed,রওনা হল তার দাদীর ঘরের দিকে।
Humayun Ahmed,মিথ্যা কথা বলায় মা'র কাছে তার এখন আর যেতে ইচ্ছা করছে না।
Humayun Ahmed,সে ঠিক করল মায়ের সামনে দিয়েই সে দাদীর ঘরে যাবে তবে মা'র দিকে ফিরে তাকাবে না।
Humayun Ahmed,শুধু শুধু আয়নার সামনে দাঁড় করানোয় মা'র উপর তার রাগ লাগছে।
Humayun Ahmed,সুরাইয়া মিথ্যা কথা বলে নি।
Humayun Ahmed,ইমন যদি আয়নার সামনে দাঁড়িয়ে হাসত তাহলে সত্যি মজার একটা ব্যাপার ঘটত।
Humayun Ahmed,ইমন দেখতে পেত তার সামনের পাটির একটা দাঁত পড়ে গেছে।
Humayun Ahmed,সামান্য একটা দাঁত পড়ে যাবার জন্যে তার চেহারা গেছে পাল্টে।
Humayun Ahmed,তাকে চেনা যাচ্ছে না ।
Humayun Ahmed,সুরাইয়া আগ্রহ নিয়ে বারান্দায় অপেক্ষা করছে।
Humayun Ahmed,"এই বুঝি ছেলের বিকট চিৎকার শোনা যাবে—“মা, আমার দাঁত পড়ে গেছে।”"
Humayun Ahmed,"এই বুঝি ছেলের বিকট চিৎকার শোনা যাবে—“মা, আমার দাঁত পড়ে গেছে।”"
Humayun Ahmed,মা আমার দাঁত পড়ে গেছে।
Humayun Ahmed,সেরকম কিছুই হল না।
Humayun Ahmed,ছেলেকে গম্ভীর ভঙ্গিতে বারান্দায় আসতে দেখা গেল।
Humayun Ahmed,মা'র সামনে দিয়েই সে যাচ্ছে অথচ সে তার দিকে ফিরে তাকাচ্ছে না ।
Humayun Ahmed,"সুরাইয়া ডাকল, “এই ব্যাটা।”"
Humayun Ahmed,"সুরাইয়া ডাকল, “এই ব্যাটা।”"
Humayun Ahmed,এই।
Humayun Ahmed,ইমন মায়ের ডাক সম্পূর্ণ অগ্রাহ্য করে ঢুকে গেল দাদীর ঘরে।
Humayun Ahmed,সুরাইয়ার মনটা খারাপ হয়ে গেল ।
Humayun Ahmed,এই ছেলে কি পুরোপুরি তার বাবার মত হয়ে যাচ্ছে ?
Humayun Ahmed,রোবট মানব ?
Humayun Ahmed,"কোন কিছুতে কোন আগ্রহ নেই, কৌতূহল নেই।"
Humayun Ahmed,বিস্মিত হবার ক্ষমতা নেই ।
Humayun Ahmed,"প্ৰথম দাঁত পড়া যে কোন শিশুর জন্যে বিরাট রোমাঞ্চকর অভিজ্ঞতা, অথচ ইমন কেমন নির্বিকার।"
Humayun Ahmed,দাদীর ঘরে ঢোকার আগে ইমন তার ছোট চাচার ঘরের সামনে দাঁড়াল ।
Humayun Ahmed,ছোট চাচাকে তার বেশ ভাল লাগে।
Humayun Ahmed,ছোট চাচা বড় মানুষ হলেও বড়দের মত না।
Humayun Ahmed,ছোট চাচার ঘরের দরজা খোলা।
Humayun Ahmed,"তিনি ইমনকে দেখে ডাকলেন-এই যে মিষ্টার স্ট্রং ম্যান, শুনে যা।"
Humayun Ahmed,ইমনের তখন আর ঘরে ঢুকতে ইচ্ছে করল না।
Humayun Ahmed,সে রওনা হল দাদীর ঘরের দিকে।
Humayun Ahmed,ইমনের ছোট চাচা ফিরোজ ঘর থেকে বের হল ।
Humayun Ahmed,"সুরাইয়ার কাছে গিয়ে হাই তুলতে তুলতে বলল, ভাবী একটু চা খাওয়াওতো ।"
Humayun Ahmed,ফিরোজের বেশ ক'দিন ধরে জ্বর চলছে।
Humayun Ahmed,তার চোখ লাল ।
Humayun Ahmed,শেভ করছে না বলে খোঁচা খোঁচা দাড়িতে তাকে ভয়ংকর লাগছে।
Humayun Ahmed,অসুখ বিসুখ তাকে খুব কাবু করে ।
Humayun Ahmed,এই কদিনের জ্বরে সে শুকিয়ে চিমসা হয়ে গেছে ।
Humayun Ahmed,"সুরাইয়া বলল, তোমার জ্বরের অবস্থা কি ?"
Humayun Ahmed,জ্বরের অবস্থা জানি না ভাবী।
Humayun Ahmed,আমার জল বসন্ত হয়েছে বলে মনে হচ্ছে ।
Humayun Ahmed,শরীরে গোটা গোটা কি যেন উঠেছে।
Humayun Ahmed,"“বল কি, চিকেন পক্স হয়েছে ?”"
Humayun Ahmed,"“বল কি, চিকেন পক্স হয়েছে ?”"
Humayun Ahmed,"ফিরোজ হাসি মুখে বলল, হয়েছে।"
Humayun Ahmed,"এবং আমি অত্যন্ত গুরুত্বপূর্ণ একটা সিদ্ধান্ত নিয়েছি, সেটাও জল বসন্তের মতই ভয়াবহ।"
Humayun Ahmed,আমি এম এ পরীক্ষা দিচ্ছি না ভাবী ।
Humayun Ahmed,‘ড্রপ ট্রপ না ।’
Humayun Ahmed,পড়াশোনার পাঠ শেষ করে দিলাম।
Humayun Ahmed,এম এ পাশ বেকার শুনতে খুব খারাপ লাগে।
Humayun Ahmed,বি এ পাশ বেকার শুনতে তত খারাপ লাগে না ।
Humayun Ahmed,শ খানিক টাকা দিতে পারবে ভাবী ?
Humayun Ahmed,দিতে পারলে দাও।
Humayun Ahmed,"ফিরোজ গম্ভীর মুখে বলল, সব বন্ধু-বান্ধবের বাসায় যাব।"
Humayun Ahmed,এম এ পরীক্ষা যে দিচ্ছি না এই খবরটা দেব এবং জল বসন্তের জীবাণু ডিসট্রিবিউট করে আসব।
Humayun Ahmed,ওরা বুঝবে কত ধানে কত চাল।
Humayun Ahmed,"ভাবী শোন, চা যে আনবে শুধু লিকার, নো মিল্ক, নো সুগার।"
Humayun Ahmed,"আচ্ছা থাক, চা লাগবে না ।"
Humayun Ahmed,লাগবে না কেন ?
Humayun Ahmed,‘চা খাব ভেবেই কেমন বমি বমি লাগছে।’
Humayun Ahmed,চায়ের বদলে টাকা দাও ।
Humayun Ahmed,একশ না পারলে পঞ্চাশ।
Humayun Ahmed,পঞ্চাশ না পারলে কুড়ি ।
Humayun Ahmed,"সুরাইয়া শান্ত গলায় বলল, টাকা আমি দিচ্ছি, তুমি আমার কথা শোন।"
Humayun Ahmed,কোথাও বের হয়ো না।
Humayun Ahmed,শুয়ে রেস্ট নাও।
Humayun Ahmed,কয়েকদিন আগে জণ্ডিস থেকে উঠেছ।
Humayun Ahmed,ফিরোজ শোবার ঘরের দিকে চলে গেল।
Humayun Ahmed,বিছানায় শুয়ে থাকার জন্যে গেল না ।
Humayun Ahmed,কাপড় বদলাবার জন্যে গেল ।
Humayun Ahmed,চারদিন ঘরে থেকে তার দম বন্ধ হয়ে আসছে।
Humayun Ahmed,নিঃশ্বাস ফেলার জন্যে তাকে বাইরে যেতেই হবে।
Humayun Ahmed,জল বসন্তের জীবাণু ডিসট্রিবিউটের ব্যাপারেও সে রসিকতা করছে না।
Humayun Ahmed,সে আসলেই ঠিক করে রেখেছে সব বন্ধু বান্ধবের সঙ্গে দেখা করবে।
Humayun Ahmed,"যতদূর সম্ভব ঘসাঘসি
করে আসবে ।"
Humayun Ahmed,আকলিমা বেগমের ঘর থেকে তাঁর এবং ইমনের হাসির শব্দ আসছে।
Humayun Ahmed,ইমন হাসতে হাসতে প্রায় ভেঙ্গে পড়ে যাচ্ছে।
Humayun Ahmed,হেচকির মত উঠছে।
Humayun Ahmed,সুরাইয়া ভুরু কুঁচকে ফেলল।
Humayun Ahmed,তার কোন কথায়তো ছেলে এমন করে হাসে না ।
Humayun Ahmed,শাশুড়ির ঘরে এমন কি ঘটল যে হাসতে হাসতে ছেলের হেঁচকি উঠে গেল ?
Humayun Ahmed,বাচ্চারা বাচ্চাদের সঙ্গ পছন্দ করবে।
Humayun Ahmed,সত্তুর বছরের একজন বৃদ্ধার সঙ্গ তার এত পছন্দ হবে কেন ?
Humayun Ahmed,সুরাইয়ার সবচে যেখানে আপত্তি তা হচ্ছে ছেলে তার দাদীর সঙ্গে থেকে থেকে গ্রাম্য কথা শিখে যাচ্ছে।
Humayun Ahmed,আকলিমা বেগম বিশুদ্ধ নেত্রকোনার ভাষায় কথা বলেন— “বিছুন আইন্যা বাও দে” অর্থাৎ “পাখা এনে বাতাস কর” জাতীয় অদ্ভুত ভাষা ।
Humayun Ahmed,আকলিমা বেগম বিশুদ্ধ নেত্রকোনার ভাষায় কথা বলেন— “বিছুন আইন্যা বাও দে” অর্থাৎ “পাখা এনে বাতাস কর” জাতীয় অদ্ভুত ভাষা ।
Humayun Ahmed,শিশুরা অদ্ভুত ভাষাটাই সহজে গ্রহণ করে ।
Humayun Ahmed,ইমন এর মধ্যেই তার দাদীর কাছ থেকে বিকট বিকট কিছু শব্দ শিখেছে।
Humayun Ahmed,খুব স্বাভাবিক ভাবে সে শব্দগুলি বলে ।
Humayun Ahmed,আর সুরাইয়া আতংকে অস্থির হয়।
Humayun Ahmed,"এইতো কয়েকদিন আগে ইমন খুব স্বাভাবিক ভাবে বলল, ব্যথা করছে।"
