Author,Genre,Source,Text
Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,পরীর নাম এলিতা?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হুঁ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"বাবা-মা রাশিয়ান, এলিভা জন্মসূত্রে আমেরিকান।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ফটোগ্রাফির উপর কোর্স করেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বাংলাদেশে আসার দিন ছবি তুলতে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,নাম The Food . ঢাকায় আসবে ডিসেম্বরের শেষ সপ্তাহে তুই হবি তার গাইড।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমিতো ইংরেজিই জানি না গাইড হব কি ভাবে?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা বললেন, ঐ মেয়ে টিচার রেখে বাংলা শিখে তারপর আসছে।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ওরা যা করে সিরিয়াসলি করে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর মত অকারণে রাস্তায় খালি পায়ে হাঁটে না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বাংলাদেশে আসবে তাই বাংলা শিখেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তার চায়না যাওয়ার প্রোগ্রাম থাকলে চায়নিজ শিখতো।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,রশিয়ান ভাষা সে জানে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি খালাকে থামিয়ে দিয়ে বললাম, স্যুট লাল টাই কোথায় পাব?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা বললেন, ড্রেস নিয়ে তোকে চিন্তা করতে হবে না।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর খালুর স্যুট টাই আমি আলাদা করে রেখেছি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,মাপে হবে না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,একটু উনিশ বিশ হবে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কারো চোখে পরবে না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমার সামনে পরতো দেখি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,টাই এর নট বাঁধতে পারিস?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি বেঁধে দিচ্ছি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,শিখে নে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এখন পরতে হবে?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হ্যাঁ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর খালু বাসায় ফেরার আগেই স্যুট টাই নিয়ে বিদায় হয়ে যা ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এখন থেকে সারাক্ষণ স্যুট টাই পরে থাকবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,নয়তো আসল দিনে ঝামেলায় পরবি গা কুটকুট করবে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,টাই গলায় ফাঁসের মত লাগবে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,স্যুট টাই পরলাম।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা বললেন, কোটটা সামান্য লুজফিটিং হয়েছে।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এটাই ভাল ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আজকাল লুজফিটিং-এর চল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,যা আয়নার সামনে দাঁড়িয়ে দেখ তোকে কি সুন্দর মানিয়েছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর চেহারা যে এত সুন্দর আগে খেয়াল করিনি ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি আয়নার সামনে দাঁড়িয়ে দেখি-নকল হিমু।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আয়নার হিমুকে মনে হচ্ছে এই হিমু ব্রিফকেস নিয়ে ঘুরে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"সে বিরাট ধান্দাবাজ, সন্ধ্যাবেলা ক্লাবে যায়, বোতল খায় ৷খালা বললেন, নিজেকে দেখেতো মুগ্ধ হয়ে গেছিস।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"পুরুষ মানুষকে বেশিক্ষণ আয়নায় নিজেকে দেখতে হয় না, চরিত্র খারাপ হয় ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এখন জুতা পর ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,জুতা ফিট করে কি-না দেখি ৷অনেক চেষ্টা করেও জুতা পায়ে ঢুকানো গেল না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"মোজাসহ, মোজা ছাড়া নানানভাবে চেষ্টা করা হল ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"খালা বললেন, টাকা দিচ্ছি একজোড়া জুতা কিনে নিবি।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ব্ল্যাক সু কিনবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,নিচে গাড়ি আছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,গাড়ি নিয়ে তোর খালুর এই স্যান্ডেলটা পড়ে চলে যা।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,জুতার দোকানে গাড়ি থেকে নামবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কিছুক্ষণ স্যান্ডেল পরা থাকলে কিছু হবে না ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি গাড়ি এবং স্যান্ডেল ছাড়াই বের হলাম।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হিমুর কিছুটা আমার মধ্যে থাকুক ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,স্যুট টাইয়ের সঙ্গে খালি পা ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ঢাকা শহর বদলে গেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কিভাবে বদলেছে কতটুকু বদলেছে?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, ভাষাবিধ পণ্ডিত পরী বিয়ে করা বিপদজনক তারপর তুমি যখন বলছ বিয়ে করব।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বিয়ে কি মেয়ে ঢাকায় পৌঁছার পরপরই হবে?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,মেয়ে জানে যে আমাকে বিয়ে করছে?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,মেয়ে কিছুই জানে না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তুই সারাক্ষণ মেয়ের সঙ্গে থাকবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর উদ্ভট উদ্ভট কথাবার্তা শুনে মেয়ে তোর প্রেমে পড়ে যাবে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,প্রেম একটু গাঢ় হলেই আমি কাজি ডেকে বিয়ে দিয়ে দেব।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তুই মেয়ের হাত ধরে চলে যাবি আমেরিকা ৷ তোর একটা গতি হয়ে যাবে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এখন বুঝেছিস আমার প্ল্যান ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এই মেয়ের সঙ্গে তুমি জুটলে কি ভাবে?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ইন্টারনেটে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এলিতা আমার ফেসবুক ফ্রেন্ড।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তার বয়স একুশ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তার একটাই দুঃখ এখনো না-কি সে কোনো বুদ্ধিমান ছেলে দেখে নি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তার কাছে পুরুষ মানেই গাধা ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ছেলে সেজেছে কেন?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বাংলাদেশে আসবে এই জন্যে ছেলে সেজেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ছেলে সেজেই আসবে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,যতদিন থাকবে ছেলে সেজে থাকবে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,সে এক নিউজে শুনেছে গরিব দেশে শাদা চামড়ার মেয়ের একা যাওয়া মানেই গ্যং রেপড হওয়া ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এলিতা ভেজিটেরিয়ান ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,সকালে কি নাস্তা খায় জানিস তিনটা কাঁচা ওকরা ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ওকরা কি জিনিস?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ওকরা হল ঢ্যাস ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,দুপুরে কি খায়?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,অর্ধেকটা কাঁচা লাউ?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হিমু ফাজলামি বন্ধ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি এই মেয়েটার বিষয়ে সিরিয়াস।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি চাই তুইও সিরিয়াস হবি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোদের দু'জনের বিষয়টা মাথায় কিভাবে এসেছে জানিস?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,স্বপ্নে পেয়েছ!

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ও আল্লা!

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,সত্যিতো ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কিভাবে বললি?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আসলেই স্বপ্নে পেয়েছি এলিতা যখন জানলো সে ঢাকায় আসছে তখনি স্বপ্নটা দেখলাম।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,দুপুরে খাওয়া দাওয়া করে শুয়েছি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,হাতে গল্পের বই।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,গল্প পড়তে পড়তে ঘুমিয়ে পড়েছি তখন স্বপ্নটা দেখলাম ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,একটা ঘোড়ার গাড়িতে করে তোরা দু'জন যাচ্ছিস।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,পেছনে ব্যান্ডপার্টি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর পরনে স্যুট টাই ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এলিতার পাশে তোকে মোটেই বেমানান লাগছে না?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,সুন্দর লাগছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এলিতা পড়েছে লাল জামদানি।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তোর গলার টাইটা লাল ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,ক) ঢাকা শহরের চলমান মানুষ এখন কেউ কারো দিকে তাকায় না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আমি আধঘণ্টার উপর স্যুট পরে খালি পায়ে হাঁটছি কেউ বিষয়টা ধরতে পারছে না ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কেউ আমার পায়ের দিকে তাকাচ্ছেই না ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,খ) ঢাকা শহরে মুচি সম্প্রদায় বলে এক সম্প্রদায় ছিল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তারা প্রথমে তাকাতো পায়ের দিকে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,পায়ের জুতা স্যান্ডেলের অবস্থা দেখত।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তারপর তাকাতো মুখের দিকে ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,জুতা ওয়ান টাইম আইটেম হয়েছে বলে মুচি সম্প্রদায় বিলুপ্ত।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,জুতার দিকে তাকিয়ে থাকার কেউ নেই ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,গ) ঢাকা শহরের মানুষের বিস্মিত হবার ক্ষমতা পুরোপুরি নষ্ট হয়ে গেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,দু'জন আমাকে আপাদমস্তক দেখেছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,একজন দেখে হাই তুলল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,দ্বিতীয় জন পানের পিক ফেলে উদাস হয়ে গেল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,তবে শিশুদের মধ্যে বিস্মিত হবার ক্ষমতা কিছুটা এখনো আছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,স্কুল ফেরত এক বালিকা অনেক ঝামেলা করে তার মা'র দৃষ্টি আমার খালি পায়ের দিকে ফেরাল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বিড়বিড় করে কিছু বলল।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,মা ধমক দিয়ে তাকে নিয়ে চলে যাচ্ছে।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,বালিকা যাবে না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,কাজেই আমি এগিয়ে গেলাম।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আন্তরিক ভঙ্গিতে বললাম, খুকি তোমার কি খবর?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,মেয়েটা সামাজিকতার ধার দিয়ে গেল না।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"অবাক হয়ে বলল, আপনার পায়ে জুতা নেই কেন?"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, আমি জুতা আবিষ্কারের আগের মানুষ বলে পায়ে জুতা নেই ।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"মেয়ের মা তার হাত ধরে হ্যাঁচকা টান দিয়ে বললেন, তানিজা চলতো।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"তানিজা বলল, খালি পায়ে হাঁটলে অসুখ হয় আমার টিচার বলেছেন।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, তানিজা তাকিয়ে দেখ ঢাকা শহরের বেশির ভাগ ভিক্ষুক খালি পায়ে হাঁটে।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,এদের অসুখ হয় না ।

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"মেয়ের মা আমার দিকে তাকিয়ে কঠিন গলায় বললেন, প্লীজ আমাদের বিরক্ত করবেন না।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,"আমি বললাম, বিরক্ত করছি না গল্প করছি।"

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আপনি আমাকে দেখে ভয় পাচ্ছেন কেন?

Humayun Ahmed,Novel,Himu Ebong Ekti Russian Pori,আপনার কি ধারণা আপনার মেয়েকে আমি ছিনিয়ে নিয়ে যাব ।

Humayun Ahmed,Novel,Opekkha,সুরাইয়া অবাক হয়ে তার ছেলের দিকে তাকিয়ে আছে ।

Humayun Ahmed,Novel,Opekkha,ছেলের নাম ইমন।

Humayun Ahmed,Novel,Opekkha,বয়স পাঁচ বছর তিনমাস।

Humayun Ahmed,Novel,Opekkha,মাথা ভর্তি কোকড়ানো চুল ।

Humayun Ahmed,Novel,Opekkha,লম্বাটে ধরণের মুখ।

Humayun Ahmed,Novel,Opekkha,"মাঝে মাঝে সেই মুখ কোন এক বিচিত্র কারণে গোলগাল দেখায়, আজ দেখাচ্ছে।"

Humayun Ahmed,Novel,Opekkha,ইমন তার মায়ের বিস্মিত দৃষ্টির কারণ ধরতে পারছে না।

Humayun Ahmed,Novel,Opekkha,সে ভুরু কুঁচকে মায়ের দিকে তাকিয়ে আছে।

Humayun Ahmed,Novel,Opekkha,ভুরু কুঁচকানোর এই বদঅভ্যাস সে পেয়েছে তার বাবার কাছ থেকে ।

Humayun Ahmed,Novel,Opekkha,ইমনের বাবা হাসানুজ্জামান অতি তুচ্ছ কারণে ভুরু কুঁচকে ফেলেন।

Humayun Ahmed,Novel,Opekkha,সেই কুঁচকানো ভুরু সহজে মসৃন হয় না ।

Humayun Ahmed,Novel,Opekkha,"সুরাইয়া বলল, ইমন একটা কাজ কর।"

Humayun Ahmed,Novel,Opekkha,আমার শোবার ঘরে যাও।

Humayun Ahmed,Novel,Opekkha,ড্রেসিং টেবিলের আয়নাটার সামনে দাঁড়াও।

Humayun Ahmed,Novel,Opekkha,দাঁড়িয়ে সুন্দর করে হেসে আবার আমার কাছে চলে এসো ।

Humayun Ahmed,Novel,Opekkha,"ইমন বলল, কেন ?"

Humayun Ahmed,Novel,Opekkha,আমি যেতে বলছি এই জন্যে যাবে।

Humayun Ahmed,Novel,Opekkha,সব কিছুতে কেন কেন করবে না ।

Humayun Ahmed,Novel,Opekkha,"ইমন সরু গলায় বলল, সবকিছুতে কেন কেন করলে কি হয় ?"

Humayun Ahmed,Novel,Opekkha,"সুরাইয়া বিরক্ত গলায় বলল, খুব খারাপ হয়।"

Humayun Ahmed,Novel,Opekkha,বড়রা কোন কথা বললে কেন কেন না বলে সেই কথা শুনতে হয়।

Humayun Ahmed,Novel,Opekkha,তোমাকে আয়নার সামনে যেতে বলছি তুমি যাও।

Humayun Ahmed,Novel,Opekkha,আয়নার সামনে দাঁড়িয়ে খুব সুন্দর করে হসিবে।

Humayun Ahmed,Novel,Opekkha,"মনে থাকে
যেন ।"

Humayun Ahmed,Novel,Opekkha,‘হাসলে কি হবে ?’

Humayun Ahmed,Novel,Opekkha,"‘হাসলে খুব মজার একটা ব্যাপার হবে।’"

Humayun Ahmed,Novel,Opekkha,"ইমন আয়নার দিকে যাচ্ছে।"

Humayun Ahmed,Novel,Opekkha,খুব যে আগ্রহের সঙ্গে যাচ্ছে তা না।

Humayun Ahmed,Novel,Opekkha,আয়নার সামনে দাঁড়িয়ে হাসলে মজার কিছু হবে বলে তার মনে হচ্ছে না।

Humayun Ahmed,Novel,Opekkha,বড়রা যে প্রায়ই অর্থহীন কথা বলে এই সত্য সে ধরতে শুরু করেছে।

Humayun Ahmed,Novel,Opekkha,ইমন আয়নার সামনে গেল ।

Humayun Ahmed,Novel,Opekkha,ঠোঁট টিপে ভুরু কুঁচকে নিজের দিকে তাকিয়ে রইল।

Humayun Ahmed,Novel,Opekkha,মা হাসতে বলেছেন।

Humayun Ahmed,Novel,Opekkha,না হাসলে মজার কিছু ঘটবে না।

Humayun Ahmed,Novel,Opekkha,কাজেই সে সামান্য হাসল ।

