novel_name,tokenized_sentence
Himu Ebong Ekti Russian Pori,"খালা গলার স্বর আবারো খাদে নামিয়ে বললেন, ছেলে না, এ মেয়ে ।"
Himu Ebong Ekti Russian Pori,গোঁফ লাগিয়ে ছেলে সেজেছে।
Himu Ebong Ekti Russian Pori,তার আসল ছবি দেখলে মাথা ঘুরে সোফায় কাত হয়ে পড়ে যাবি ।
Himu Ebong Ekti Russian Pori,দশ মিনিট উঠতে পারবি না।
Himu Ebong Ekti Russian Pori,বুক ধড়ফড়ানি রোগ হয়ে যাবে।
Himu Ebong Ekti Russian Pori,এই দেখ আসল ছবি।
Himu Ebong Ekti Russian Pori,"এখন বল এই মেয়ে যদি পরী না হয় তাহলে পরী
কে?"
Himu Ebong Ekti Russian Pori,"আমি বললাম, হুঁ ।"
Himu Ebong Ekti Russian Pori,শুধু হুঁ বললি ।
Himu Ebong Ekti Russian Pori,সুন্দর একটা কথা বল।
Himu Ebong Ekti Russian Pori,"আমি বললাম, “কে বলে শারদ পপি এ যূখের তুলা পদনখে পড়ে আছে
তার কতগুলো ।"
Himu Ebong Ekti Russian Pori,"""
এর মানে কি?"
Himu Ebong Ekti Russian Pori,এর মানে হল শরৎ রাতের চাঁদও এই সুখের তুলনা হবে না।
Himu Ebong Ekti Russian Pori,শরতের পূর্ণ চন্দ্র পড়ে থাকবে এই তরুণীর পায়ের নখের কাছে।
Himu Ebong Ekti Russian Pori,বাহ্।
Himu Ebong Ekti Russian Pori,তুই বানিয়েছিস?
Himu Ebong Ekti Russian Pori,কবি ভারতচন্দ্র লিখেছেন।
Himu Ebong Ekti Russian Pori,উপবতী প্রায় দেখলে উনার মাথা ঠিক থাকত না।
Himu Ebong Ekti Russian Pori,নিজে বিয়ে করেছিলেন এর ভড়কা রাক্ষশীকে।
Himu Ebong Ekti Russian Pori,ধুমসি আলুর বস্তা।
Himu Ebong Ekti Russian Pori,গাত্র বর্ণ পাতিল কালো ।
Himu Ebong Ekti Russian Pori,দু'টা দাঁত খরগোসের স্নাত সব সময় ঠোঁটের বাইরে ।
Himu Ebong Ekti Russian Pori,ভারতবাবু এই মেয়েকে বিয়ে কখন কেন ?
Himu Ebong Ekti Russian Pori,মহিলার উচ্চবংশ বলে বিয়ে ধরেছিলেন কবিরা আবার বংশের দিকে দুর্বল।
Himu Ebong Ekti Russian Pori,রাক্ষুসীর কথা বাদ দে এলিক্স মেয়েটাকে বিয়ে করবি?
Himu Ebong Ekti Russian Pori,"ধান্দাবাজি না, এক কথায় জবাব দে।"
Himu Ebong Ekti Russian Pori,হ্যাঁ না-কি না!
Himu Ebong Ekti Russian Pori,পরীর নাম এলিতা?
Himu Ebong Ekti Russian Pori,হুঁ।
Himu Ebong Ekti Russian Pori,"বাবা-মা রাশিয়ান, এলিভা জন্মসূত্রে আমেরিকান।"
Himu Ebong Ekti Russian Pori,ফটোগ্রাফির উপর কোর্স করেছে।
Himu Ebong Ekti Russian Pori,বাংলাদেশে আসার দিন ছবি তুলতে।
Himu Ebong Ekti Russian Pori,নাম The Food . ঢাকায় আসবে ডিসেম্বরের শেষ সপ্তাহে তুই হবি তার গাইড।
Himu Ebong Ekti Russian Pori,"আমিতো ইংরেজিই জানি না
গাইড হব কি ভাবে?"
Himu Ebong Ekti Russian Pori,"খালা বললেন, ঐ মেয়ে টিচার রেখে বাংলা শিখে তারপর আসছে।"
Himu Ebong Ekti Russian Pori,ওরা যা করে সিরিয়াসলি করে।
Himu Ebong Ekti Russian Pori,তোর মত অকারণে রাস্তায় খালি পায়ে হাঁটে না।
Himu Ebong Ekti Russian Pori,বাংলাদেশে আসবে তাই বাংলা শিখেছে।
Himu Ebong Ekti Russian Pori,তার চায়না যাওয়ার প্রোগ্রাম থাকলে চায়নিজ শিখতো।
Himu Ebong Ekti Russian Pori,রশিয়ান ভাষা সে জানে ।
Himu Ebong Ekti Russian Pori,"আমি খালাকে থামিয়ে দিয়ে বললাম, স্যুট লাল টাই কোথায় পাব?"
Himu Ebong Ekti Russian Pori,"খালা বললেন, ড্রেস নিয়ে তোকে চিন্তা করতে হবে না।"
Himu Ebong Ekti Russian Pori,তোর খালুর স্যুট টাই আমি আলাদা করে রেখেছি।
Himu Ebong Ekti Russian Pori,মাপে হবে না।
Himu Ebong Ekti Russian Pori,একটু উনিশ বিশ হবে।
Himu Ebong Ekti Russian Pori,কারো চোখে পরবে না।
Himu Ebong Ekti Russian Pori,আমার সামনে পরতো দেখি।
Himu Ebong Ekti Russian Pori,টাই এর নট বাঁধতে পারিস?
Himu Ebong Ekti Russian Pori,না।
Himu Ebong Ekti Russian Pori,আমি বেঁধে দিচ্ছি।
Himu Ebong Ekti Russian Pori,শিখে নে ।
Himu Ebong Ekti Russian Pori,এখন পরতে হবে?
Himu Ebong Ekti Russian Pori,হ্যাঁ।
Himu Ebong Ekti Russian Pori,তোর খালু বাসায় ফেরার আগেই স্যুট টাই নিয়ে বিদায় হয়ে যা ।
Himu Ebong Ekti Russian Pori,এখন থেকে সারাক্ষণ স্যুট টাই পরে থাকবি।
Himu Ebong Ekti Russian Pori,নয়তো আসল দিনে ঝামেলায় পরবি গা কুটকুট করবে।
Himu Ebong Ekti Russian Pori,টাই গলায় ফাঁসের মত লাগবে ।
Himu Ebong Ekti Russian Pori,স্যুট টাই পরলাম।
Himu Ebong Ekti Russian Pori,"খালা বললেন, কোটটা সামান্য লুজফিটিং হয়েছে।"
Himu Ebong Ekti Russian Pori,এটাই ভাল ।
Himu Ebong Ekti Russian Pori,আজকাল লুজফিটিং-এর চল।
Himu Ebong Ekti Russian Pori,যা আয়নার সামনে দাঁড়িয়ে দেখ তোকে কি সুন্দর মানিয়েছে।
Himu Ebong Ekti Russian Pori,তোর চেহারা যে এত সুন্দর আগে খেয়াল করিনি ।
Himu Ebong Ekti Russian Pori,আমি আয়নার সামনে দাঁড়িয়ে দেখি-নকল হিমু।
Himu Ebong Ekti Russian Pori,আয়নার হিমুকে মনে হচ্ছে এই হিমু ব্রিফকেস নিয়ে ঘুরে।
Himu Ebong Ekti Russian Pori,"সে বিরাট ধান্দাবাজ, সন্ধ্যাবেলা ক্লাবে যায়, বোতল খায় ৷খালা বললেন, নিজেকে দেখেতো মুগ্ধ হয়ে গেছিস।"
Himu Ebong Ekti Russian Pori,"পুরুষ মানুষকে বেশিক্ষণ আয়নায় নিজেকে দেখতে হয় না, চরিত্র খারাপ হয় ।"
Himu Ebong Ekti Russian Pori,এখন জুতা পর ।
Himu Ebong Ekti Russian Pori,জুতা ফিট করে কি-না দেখি ৷অনেক চেষ্টা করেও জুতা পায়ে ঢুকানো গেল না।
Himu Ebong Ekti Russian Pori,"মোজাসহ, মোজা ছাড়া নানানভাবে চেষ্টা করা হল ।"
Himu Ebong Ekti Russian Pori,"খালা বললেন, টাকা দিচ্ছি একজোড়া জুতা কিনে নিবি।"
Himu Ebong Ekti Russian Pori,ব্ল্যাক সু কিনবি।
Himu Ebong Ekti Russian Pori,নিচে গাড়ি আছে।
Himu Ebong Ekti Russian Pori,গাড়ি নিয়ে তোর খালুর এই স্যান্ডেলটা পড়ে চলে যা।
Himu Ebong Ekti Russian Pori,জুতার দোকানে গাড়ি থেকে নামবি।
Himu Ebong Ekti Russian Pori,কিছুক্ষণ স্যান্ডেল পরা থাকলে কিছু হবে না ।
Himu Ebong Ekti Russian Pori,আমি গাড়ি এবং স্যান্ডেল ছাড়াই বের হলাম।
Himu Ebong Ekti Russian Pori,হিমুর কিছুটা আমার মধ্যে থাকুক ।
Himu Ebong Ekti Russian Pori,স্যুট টাইয়ের সঙ্গে খালি পা ।
Himu Ebong Ekti Russian Pori,ঢাকা শহর বদলে গেছে।
Himu Ebong Ekti Russian Pori,কিভাবে বদলেছে কতটুকু বদলেছে?
Himu Ebong Ekti Russian Pori,"আমি বললাম, ভাষাবিধ পণ্ডিত পরী বিয়ে করা বিপদজনক তারপর তুমি যখন বলছ বিয়ে করব।"
Himu Ebong Ekti Russian Pori,বিয়ে কি মেয়ে ঢাকায় পৌঁছার পরপরই হবে?
Himu Ebong Ekti Russian Pori,মেয়ে জানে যে আমাকে বিয়ে করছে?
Himu Ebong Ekti Russian Pori,মেয়ে কিছুই জানে না।
Himu Ebong Ekti Russian Pori,তুই সারাক্ষণ মেয়ের সঙ্গে থাকবি।
Himu Ebong Ekti Russian Pori,তোর উদ্ভট উদ্ভট কথাবার্তা শুনে মেয়ে তোর প্রেমে পড়ে যাবে।
Himu Ebong Ekti Russian Pori,প্রেম একটু গাঢ় হলেই আমি কাজি ডেকে বিয়ে দিয়ে দেব।
Himu Ebong Ekti Russian Pori,তুই মেয়ের হাত ধরে চলে যাবি আমেরিকা ৷ তোর একটা গতি হয়ে যাবে।
Himu Ebong Ekti Russian Pori,এখন বুঝেছিস আমার প্ল্যান ।
Himu Ebong Ekti Russian Pori,এই মেয়ের সঙ্গে তুমি জুটলে কি ভাবে?
Himu Ebong Ekti Russian Pori,ইন্টারনেটে।
Himu Ebong Ekti Russian Pori,এলিতা আমার ফেসবুক ফ্রেন্ড।
Himu Ebong Ekti Russian Pori,তার বয়স একুশ।
Himu Ebong Ekti Russian Pori,তার একটাই দুঃখ এখনো না-কি সে কোনো বুদ্ধিমান ছেলে দেখে নি।
Himu Ebong Ekti Russian Pori,তার কাছে পুরুষ মানেই গাধা ।
Himu Ebong Ekti Russian Pori,ছেলে সেজেছে কেন?
Himu Ebong Ekti Russian Pori,বাংলাদেশে আসবে এই জন্যে ছেলে সেজেছে।
Himu Ebong Ekti Russian Pori,ছেলে সেজেই আসবে।
Himu Ebong Ekti Russian Pori,যতদিন থাকবে ছেলে সেজে থাকবে ।
Himu Ebong Ekti Russian Pori,সে এক নিউজে শুনেছে গরিব দেশে শাদা চামড়ার মেয়ের একা যাওয়া মানেই গ্যং রেপড হওয়া ।
Himu Ebong Ekti Russian Pori,এলিতা ভেজিটেরিয়ান ।
Himu Ebong Ekti Russian Pori,সকালে কি নাস্তা খায় জানিস তিনটা কাঁচা ওকরা ।
Himu Ebong Ekti Russian Pori,ওকরা কি জিনিস?
Himu Ebong Ekti Russian Pori,ওকরা হল ঢ্যাস ।
Himu Ebong Ekti Russian Pori,দুপুরে কি খায়?
Himu Ebong Ekti Russian Pori,অর্ধেকটা কাঁচা লাউ?
Himu Ebong Ekti Russian Pori,হিমু ফাজলামি বন্ধ।
Himu Ebong Ekti Russian Pori,আমি এই মেয়েটার বিষয়ে সিরিয়াস।
Himu Ebong Ekti Russian Pori,আমি চাই তুইও সিরিয়াস হবি।
Himu Ebong Ekti Russian Pori,তোদের দু'জনের বিষয়টা মাথায় কিভাবে এসেছে জানিস?
Himu Ebong Ekti Russian Pori,স্বপ্নে পেয়েছ!
Himu Ebong Ekti Russian Pori,ও আল্লা!
Himu Ebong Ekti Russian Pori,সত্যিতো ।
Himu Ebong Ekti Russian Pori,কিভাবে বললি?
Himu Ebong Ekti Russian Pori,আসলেই স্বপ্নে পেয়েছি এলিতা যখন জানলো সে ঢাকায় আসছে তখনি স্বপ্নটা দেখলাম।
Himu Ebong Ekti Russian Pori,দুপুরে খাওয়া দাওয়া করে শুয়েছি।
Himu Ebong Ekti Russian Pori,হাতে গল্পের বই।
Himu Ebong Ekti Russian Pori,গল্প পড়তে পড়তে ঘুমিয়ে পড়েছি তখন স্বপ্নটা দেখলাম ।
Himu Ebong Ekti Russian Pori,একটা ঘোড়ার গাড়িতে করে তোরা দু'জন যাচ্ছিস।
Himu Ebong Ekti Russian Pori,পেছনে ব্যান্ডপার্টি।
Himu Ebong Ekti Russian Pori,তোর পরনে স্যুট টাই ।
Himu Ebong Ekti Russian Pori,এলিতার পাশে তোকে মোটেই বেমানান লাগছে না?
Himu Ebong Ekti Russian Pori,।
Himu Ebong Ekti Russian Pori,সুন্দর লাগছে।
Himu Ebong Ekti Russian Pori,এলিতা পড়েছে লাল জামদানি।
Himu Ebong Ekti Russian Pori,তোর গলার টাইটা লাল ।
Himu Ebong Ekti Russian Pori,ক) ঢাকা শহরের চলমান মানুষ এখন কেউ কারো দিকে তাকায় না।
Himu Ebong Ekti Russian Pori,আমি আধঘণ্টার উপর স্যুট পরে খালি পায়ে হাঁটছি কেউ বিষয়টা ধরতে পারছে না ।
Himu Ebong Ekti Russian Pori,কেউ আমার পায়ের দিকে তাকাচ্ছেই না ।
Himu Ebong Ekti Russian Pori,খ) ঢাকা শহরে মুচি সম্প্রদায় বলে এক সম্প্রদায় ছিল।
Himu Ebong Ekti Russian Pori,তারা প্রথমে তাকাতো পায়ের দিকে।
Himu Ebong Ekti Russian Pori,পায়ের জুতা স্যান্ডেলের অবস্থা দেখত।
Himu Ebong Ekti Russian Pori,তারপর তাকাতো মুখের দিকে ।
Himu Ebong Ekti Russian Pori,জুতা ওয়ান টাইম আইটেম হয়েছে বলে মুচি সম্প্রদায় বিলুপ্ত।
Himu Ebong Ekti Russian Pori,জুতার দিকে তাকিয়ে থাকার কেউ নেই ।
Himu Ebong Ekti Russian Pori,গ) ঢাকা শহরের মানুষের বিস্মিত হবার ক্ষমতা পুরোপুরি নষ্ট হয়ে গেছে।
Himu Ebong Ekti Russian Pori,দু'জন আমাকে আপাদমস্তক দেখেছে।
Himu Ebong Ekti Russian Pori,একজন দেখে হাই তুলল।
Himu Ebong Ekti Russian Pori,দ্বিতীয় জন পানের পিক ফেলে উদাস হয়ে গেল।
Himu Ebong Ekti Russian Pori,তবে শিশুদের মধ্যে বিস্মিত হবার ক্ষমতা কিছুটা এখনো আছে।
Himu Ebong Ekti Russian Pori,স্কুল ফেরত এক বালিকা অনেক ঝামেলা করে তার মা'র দৃষ্টি আমার খালি পায়ের দিকে ফেরাল।
Himu Ebong Ekti Russian Pori,বিড়বিড় করে কিছু বলল।
Himu Ebong Ekti Russian Pori,মা ধমক দিয়ে তাকে নিয়ে চলে যাচ্ছে।
Himu Ebong Ekti Russian Pori,বালিকা যাবে না।
Himu Ebong Ekti Russian Pori,কাজেই আমি এগিয়ে গেলাম।
Himu Ebong Ekti Russian Pori,"আন্তরিক ভঙ্গিতে বললাম, খুকি তোমার কি খবর?"
Himu Ebong Ekti Russian Pori,মেয়েটা সামাজিকতার ধার দিয়ে গেল না।
Himu Ebong Ekti Russian Pori,"অবাক হয়ে বলল, আপনার পায়ে জুতা নেই কেন?"
Himu Ebong Ekti Russian Pori,"আমি বললাম, আমি জুতা আবিষ্কারের আগের মানুষ বলে পায়ে জুতা নেই ।"
Himu Ebong Ekti Russian Pori,"মেয়ের মা তার হাত ধরে হ্যাঁচকা টান দিয়ে বললেন, তানিজা চলতো।"
Himu Ebong Ekti Russian Pori,"তানিজা বলল, খালি পায়ে হাঁটলে অসুখ হয় আমার টিচার বলেছেন।"
Himu Ebong Ekti Russian Pori,"আমি বললাম, তানিজা তাকিয়ে দেখ ঢাকা শহরের বেশির ভাগ ভিক্ষুক খালি পায়ে হাঁটে।"
Himu Ebong Ekti Russian Pori,এদের অসুখ হয় না ।
Himu Ebong Ekti Russian Pori,"মেয়ের মা আমার দিকে তাকিয়ে কঠিন গলায় বললেন, প্লীজ আমাদের বিরক্ত করবেন না।"
Himu Ebong Ekti Russian Pori,"আমি বললাম, বিরক্ত করছি না গল্প করছি।"
Himu Ebong Ekti Russian Pori,আপনি আমাকে দেখে ভয় পাচ্ছেন কেন?
Himu Ebong Ekti Russian Pori,আপনার কি ধারণা আপনার মেয়েকে আমি ছিনিয়ে নিয়ে যাব ।
Opekkha,সুরাইয়া অবাক হয়ে তার ছেলের দিকে তাকিয়ে আছে ।
Opekkha,ছেলের নাম ইমন।
Opekkha,বয়স পাঁচ বছর তিনমাস।
Opekkha,মাথা ভর্তি কোকড়ানো চুল ।
Opekkha,লম্বাটে ধরণের মুখ।
Opekkha,"মাঝে মাঝে সেই মুখ কোন এক বিচিত্র কারণে গোলগাল দেখায়, আজ দেখাচ্ছে।"
Opekkha,ইমন তার মায়ের বিস্মিত দৃষ্টির কারণ ধরতে পারছে না।
Opekkha,সে ভুরু কুঁচকে মায়ের দিকে তাকিয়ে আছে।
Opekkha,ভুরু কুঁচকানোর এই বদঅভ্যাস সে পেয়েছে তার বাবার কাছ থেকে ।
Opekkha,ইমনের বাবা হাসানুজ্জামান অতি তুচ্ছ কারণে ভুরু কুঁচকে ফেলেন।
Opekkha,সেই কুঁচকানো ভুরু সহজে মসৃন হয় না ।
Opekkha,"সুরাইয়া বলল, ইমন একটা কাজ কর।"
Opekkha,আমার শোবার ঘরে যাও।
Opekkha,ড্রেসিং টেবিলের আয়নাটার সামনে দাঁড়াও।
Opekkha,দাঁড়িয়ে সুন্দর করে হেসে আবার আমার কাছে চলে এসো ।
Opekkha,"ইমন বলল, কেন ?"
Opekkha,সব কিছুতে কেন কেন করবে না ।
Opekkha,"ইমন সরু গলায় বলল, সবকিছুতে কেন কেন করলে কি হয় ?"
Opekkha,"সুরাইয়া বিরক্ত গলায় বলল, খুব খারাপ হয়।"
Opekkha,বড়রা কোন কথা বললে কেন কেন না বলে সেই কথা শুনতে হয়।
Opekkha,তোমাকে আয়নার সামনে যেতে বলছি তুমি যাও।
Opekkha,আয়নার সামনে দাঁড়িয়ে খুব সুন্দর করে হসিবে।
Opekkha,"মনে থাকে
যেন ।"
Opekkha,"'
ইমন আয়নার দিকে যাচ্ছে।"
Opekkha,খুব যে আগ্রহের সঙ্গে যাচ্ছে তা না।
Opekkha,আয়নার সামনে দাঁড়িয়ে হাসলে মজার কিছু হবে বলে তার মনে হচ্ছে না।
Opekkha,বড়রা যে প্রায়ই অর্থহীন কথা বলে এই সত্য সে ধরতে শুরু করেছে।
Opekkha,ইমন আয়নার সামনে গেল ।
Opekkha,ঠোঁট টিপে ভুরু কুঁচকে নিজের দিকে তাকিয়ে রইল।
Opekkha,মা হাসতে বলেছেন।
Opekkha,না হাসলে মজার কিছু ঘটবে না।
Opekkha,কাজেই সে সামান্য হাসল ।
Opekkha,এত সামান্য যে ঠোঁট পর্যন্ত ফাঁক হল না।
Opekkha,মজার কিছু ঘটল না।
Opekkha,ঘটবে না তা সে জানতো।
Opekkha,বড়রা ছোটদের ভুলাবার জন্যে মিথ্যা কথাও বলে।
Opekkha,ইমন আয়নার সামনে থেকে সরে গেল।
Opekkha,রওনা হল তার দাদীর ঘরের দিকে।
Opekkha,মিথ্যা কথা বলায় মা'র কাছে তার এখন আর যেতে ইচ্ছা করছে না।
Opekkha,সে ঠিক করল মায়ের সামনে দিয়েই সে দাদীর ঘরে যাবে তবে মা'র দিকে ফিরে তাকাবে না।
Opekkha,শুধু শুধু আয়নার সামনে দাঁড় করানোয় মা'র উপর তার রাগ লাগছে।
Opekkha,সুরাইয়া মিথ্যা কথা বলে নি।
Opekkha,ইমন যদি আয়নার সামনে দাঁড়িয়ে হাসত তাহলে সত্যি মজার একটা ব্যাপার ঘটত।
Opekkha,ইমন দেখতে পেত তার সামনের পাটির একটা দাঁত পড়ে গেছে।
Opekkha,সামান্য একটা দাঁত পড়ে যাবার জন্যে তার চেহারা গেছে পাল্টে।
Opekkha,তাকে চেনা যাচ্ছে না ।
Opekkha,সুরাইয়া আগ্রহ নিয়ে বারান্দায় অপেক্ষা করছে।
Opekkha,"এই বুঝি ছেলের বিকট চিৎকার শোনা যাবে—“মা, আমার দাঁত পড়ে গেছে।"
Opekkha,মা আমার দাঁত পড়ে গেছে।
Opekkha,ছেলেকে গম্ভীর ভঙ্গিতে বারান্দায় আসতে দেখা গেল।
Opekkha,মা'র সামনে দিয়েই সে যাচ্ছে অথচ সে তার দিকে ফিরে তাকাচ্ছে না ।
Opekkha,"সুরাইয়া ডাকল, “এই ব্যাটা।"
Opekkha,এই।
Opekkha,সুরাইয়ার মনটা খারাপ হয়ে গেল ।
Opekkha,এই ছেলে কি পুরোপুরি তার বাবার মত হয়ে যাচ্ছে ?
Opekkha,রোবট মানব ?
Opekkha,"কোন কিছুতে কোন আগ্রহ নেই, কৌতূহল নেই।"
Opekkha,বিস্মিত হবার ক্ষমতা নেই ।
Opekkha,"প্ৰথম দাঁত পড়া যে কোন শিশুর জন্যে বিরাট রোমাঞ্চকর অভিজ্ঞতা, অথচ ইমন কেমন নির্বিকার।"
Opekkha,দাদীর ঘরে ঢোকার আগে ইমন তার ছোট চাচার ঘরের সামনে দাঁড়াল ।
Opekkha,ছোট চাচাকে তার বেশ ভাল লাগে।
Opekkha,ছোট চাচা বড় মানুষ হলেও বড়দের মত না।
Opekkha,ছোট চাচার ঘরের দরজা খোলা।
Opekkha,"তিনি ইমনকে দেখে ডাকলেন-এই যে মিষ্টার স্ট্রং ম্যান, শুনে যা।"
Opekkha,ইমনের তখন আর ঘরে ঢুকতে ইচ্ছে করল না।
Opekkha,সে রওনা হল দাদীর ঘরের দিকে।
Opekkha,ইমনের ছোট চাচা ফিরোজ ঘর থেকে বের হল ।
Opekkha,"সুরাইয়ার কাছে গিয়ে হাই তুলতে তুলতে বলল, ভাবী একটু চা খাওয়াওতো ।"
Opekkha,ফিরোজের বেশ ক'দিন ধরে জ্বর চলছে।
Opekkha,তার চোখ লাল ।
Opekkha,শেভ করছে না বলে খোঁচা খোঁচা দাড়িতে তাকে ভয়ংকর লাগছে।
Opekkha,অসুখ বিসুখ তাকে খুব কাবু করে ।
Opekkha,এই কদিনের জ্বরে সে শুকিয়ে চিমসা হয়ে গেছে ।
Opekkha,"সুরাইয়া বলল, তোমার জ্বরের অবস্থা কি ?"
Opekkha,আমার জল বসন্ত হয়েছে বলে মনে হচ্ছে ।
Opekkha,শরীরে গোটা গোটা কি যেন উঠেছে।
Opekkha,"'
“বল কি, চিকেন পক্স হয়েছে ?"
Opekkha,"'
ফিরোজ হাসি মুখে বলল, হয়েছে।"
Opekkha,"এবং আমি অত্যন্ত গুরুত্বপূর্ণ একটা সিদ্ধান্ত নিয়েছি, সেটাও জল বসন্তের মতই ভয়াবহ।"
Opekkha,আমি এম এ পরীক্ষা দিচ্ছি না ভাবী ।
Opekkha,"'
'ড্রপ দিচ্ছ ?"
Opekkha,"'
‘ড্রপ ট্রপ না ।"
Opekkha,পড়াশোনার পাঠ শেষ করে দিলাম।
Opekkha,এম এ পাশ বেকার শুনতে খুব খারাপ লাগে।
Opekkha,বি এ পাশ বেকার শুনতে তত খারাপ লাগে না ।
Opekkha,শ খানিক টাকা দিতে পারবে ভাবী ?
Opekkha,দিতে পারলে দাও।
Opekkha,"'
'অসুখ নিয়ে কোথায় বের হবে ?"
Opekkha,"ফিরোজ গম্ভীর মুখে বলল, সব বন্ধু-বান্ধবের বাসায় যাব।"
Opekkha,এম এ পরীক্ষা যে দিচ্ছি না এই খবরটা দেব এবং জল বসন্তের জীবাণু ডিসট্রিবিউট করে আসব।
Opekkha,ওরা বুঝবে কত ধানে কত চাল।
Opekkha,"ভাবী শোন, চা যে আনবে শুধু লিকার, নো মিল্ক, নো সুগার।"
Opekkha,"আচ্ছা থাক, চা লাগবে না ।"
Opekkha,'লাগবে না কেন ?
Opekkha,"'
‘চা খাব ভেবেই কেমন বমি বমি লাগছে।"
Opekkha,চায়ের বদলে টাকা দাও ।
Opekkha,একশ না পারলে পঞ্চাশ।
Opekkha,পঞ্চাশ না পারলে কুড়ি ।
Opekkha,"সুরাইয়া শান্ত গলায় বলল, টাকা আমি দিচ্ছি, তুমি আমার কথা শোন।"
Opekkha,কোথাও বের হয়ো না।
Opekkha,শুয়ে রেস্ট নাও।
Opekkha,কয়েকদিন আগে জণ্ডিস থেকে উঠেছ।
Opekkha,ফিরোজ শোবার ঘরের দিকে চলে গেল।
Opekkha,বিছানায় শুয়ে থাকার জন্যে গেল না ।
Opekkha,কাপড় বদলাবার জন্যে গেল ।
Opekkha,চারদিন ঘরে থেকে তার দম বন্ধ হয়ে আসছে।
Opekkha,নিঃশ্বাস ফেলার জন্যে তাকে বাইরে যেতেই হবে।
Opekkha,জল বসন্তের জীবাণু ডিসট্রিবিউটের ব্যাপারেও সে রসিকতা করছে না।
Opekkha,সে আসলেই ঠিক করে রেখেছে সব বন্ধু বান্ধবের সঙ্গে দেখা করবে।
Opekkha,"যতদূর সম্ভব ঘসাঘসি
করে আসবে ।"
Opekkha,আকলিমা বেগমের ঘর থেকে তাঁর এবং ইমনের হাসির শব্দ আসছে।
Opekkha,ইমন হাসতে হাসতে প্রায় ভেঙ্গে পড়ে যাচ্ছে।
Opekkha,হেচকির মত উঠছে।
Opekkha,সুরাইয়া ভুরু কুঁচকে ফেলল।
Opekkha,তার কোন কথায়তো ছেলে এমন করে হাসে না ।
Opekkha,শাশুড়ির ঘরে এমন কি ঘটল যে হাসতে হাসতে ছেলের হেঁচকি উঠে গেল ?
Opekkha,বাচ্চারা বাচ্চাদের সঙ্গ পছন্দ করবে।
