source,target
মাঠের মধ্যে রৌদ্রে রাখালদের বসিবার নিমিত্ত অশথ বট খেজুর সুপারি প্রভৃতির এক বন আছে– যুবরাজ তাহার মধ্যে গিয়া প্রবেশ করিলেন।,াঠে রাখালদের সূর্যে বসার জন্য অশথ বট খেজুর সুপারি ইত্যাদি বন ছিল - যুবরাজ সে
আমি কি তোমাদের মতো লিখিতে পড়িতে জানি।,আমি কি তোমার মতো পড়তে জানি?
মহেন্দ্র।,মহেন্দ্র।
"তাহার মুখ দেখিলেই বুঝিতে পারিবি, তার বুকে মৃত্যুবাণ বাজিয়াছে।","যখন তুমি তার মুখ দেখবে, তুমি বুঝতে পারবে যে তার বুকে একটা মৃত্যু হয়েছে।"
কার্তিকেয়।,কার্তিকেয়।
"সমস্ত শরীরের রক্ত আশার কানের মধ্যে গিয়া শব্দ করিতে লাগিল, সে চক্ষু মুদ্রিত করিল।",সমস্ত শরীরের রক্ত আশার কানে শব্দ করতে শুরু করে এবং সে তার চোখ মুদ্রিত করে।
"২ এক ছেলে এসে তাকে বললে, ‘আমরা খেলব।","২ একটা ছেলে এসে তাকে বলেছিল, 'আমরা খেলব।"
স্ত্রীলোকের মন!,মহিলাটির মন!
"আমি ভাই, বিভার কান্না দেখিতে পারি না।","ভাই, আমি বিভার কান্না দেখতে পাচ্ছি না।"
বাহিরে মস্‌মস্‌ শব্দ শুনা গেল।,বাইরে একটা মস মস শব্দ শোনা গেল।
কেটি তখন বেশি কথা বলতে শেখে নি।,কেটি বেশি কথা বলতে শেখেনি।
তুই যদি ছেড়ে যাস তা হলে আমার চিরজন্মের সাধনাকে আমি হারাব।,"তুমি যদি চলে যাও, তাহলে আমি আমার অনন্ত জীবনের অভ্যাস হারাব।"
"মুশকিল এই, এদের কাছে মরাটা শেষ প্রমাণ নয়, ওরা চক্ষু বুজে ঠিক করে রেখেছে তার উপরেও কিছু আছে।","টা কঠিন যে, মৃত্যুই তাদের শেষ প্রমাণ নয়, তারা চোখ বন্ধ করে রাখে এবং সিদ্ধান্ত "
"কে না জানে, তুমি ও পাড়ার লোটনগুণ্ডার দলের সর্দার নও।","কে জানে না, তুমি ঐ এলাকার লোটনগুন্ডার দলের নেতা নও।"
"আশার সাংসারিক অপটুতায় সে ক্ষণে ক্ষণে বিরক্ত হয়, কিন্তু প্রকাশ করিয়া বলে না।","তিনি ক্ষণিকের জন্য আশার পারিবারিক অদক্ষতায় বিরক্ত হন, কিন্তু তা প্রকাশ করেন না।"
সেই আঘাতের প্রতিঘাত স্বরূপে তাহার সমস্ত তরঙ্গিত হৃদয় বিনোদিনীর দিকে সবেগে ধাবমান হইতেছিল।,এই আঘাতের প্রতিঘাত হিসেবে তাঁর সমস্ত তরঙ্গিত হৃদয় বিনোদীর দিকে ছুটে যাচ্ছিল।
শ্রীশ।,শ্রীশ।
শাক-চুরি তো তাঁহার অভ্যাস নাই।,শাক-সবজি চুরি করা তার অভ্যাস নয়।
ভালো লাগিবার কথা নহে।,এটা ভাল হওয়ার কথা না।
"তিনি বললেন, তুমি একলা পারবে কেন?","সে বলল, তুমি একা কেন পারবে?"
আজ সন্ধ্যাবেলায় রায়গড় ছাড়িয়া যাইতেই হইবে বলিয়া উদয়াদিত্য স্থির করিয়া রাখিয়াছেন।,উদয়াদিত্য আজ সন্ধ্যায় রায়গড় ত্যাগ করার সিদ্ধান্ত নিয়েছেন।
হাজার হাজার ছেলে কোমর বেঁধে ধরল দড়ি।,হাজার হাজার ছেলে তাদের কোমর বেঁধে দড়িটা ধরে রেখেছিল।
"আমি বললুম, অত অসুবিধা করবার দরকার কী।","আমি বললাম, এত সমস্যা করার দরকার কি?"
গেলুম নীলুর বাড়িতে।,আমি নিলুর বাড়িতে গিয়েছিলাম।
"ভালোবেসে যদি দিই, তা হলে ভালোবেসেই নেবে না কেন?","আমি যদি তোমাকে ভালোবাসি, তাহলে তুমি কেন আমাকে ভালোবাসো না?"
এক জায়গায় মাঝখানে চর ফেলে দুভাগে চলে গিয়েছে নদী।,এক জায়গায় নদীটি মাঝখানে চর ফেলে দুই অংশে চলে গেছে।
"একে তো তার বেশভূষা বিধবার মতো নয়, তার পরে গুরুর উপদেশবাক্যের সে কাছ দিয়া যায় না, তার পরে এতবড়ো মহাপুরুষের এত কাছে থাকিলে আপনিই যে একটি সংযমে শুচিতায় শরীর মন আলো হইয়া ওঠে এর মধ্যে তার কোনো লক্ষণ নাই।","াঁর বেশভূষা বিধবার মতো নয়, কিন্তু তিনি গুরুর উপদেশের কাছাকাছি থাকেন না, ত"
"গলি হতবুদ্ধি হয়ে বলে, ‘এ কোন্ পাগলা দেবতার মাৎলামি!","গালিটা বিভ্রান্ত হয়ে বলল, ""এই পাগল দেবতার মাৎলামি কী!"
তার পরে যখন কোনোদিন এখানে ফিরে আসতে হবে তখন আমার আসনটি কি আর ফিরে পাব?,"এরপর, আমাকে কি কখনো এখানে ফিরে আসতে হবে, তখন আমি কি আমার আসন ফিরে পাব?"
এখন উহাকে বিদায় করিবার জন্য চুনি ছটফট করিতেছে।,এখন চুনি তাকে ছেড়ে যাওয়ার জন্য সংগ্রাম করছে।
অমরাবতী বাঁধা থাকবে মর্তে তাঁরই দরজায়।,অমরাবতীকে তার দরজার সাথে বেঁধে রাখা হবে।
এ তো ফিলজফি-পড়া মেয়ে নয়।,সে ফিলোসফি-পাঠানো মেয়ে নয়।
"সে বলেছিল, ‘সেই মানুষ আমার কাছে এল যে মানুষ আমার দূরের।","তিনি বলেছিলেন, ""সেই ব্যক্তি আমার কাছে এসেছিলেন, যিনি আমার কাছ থেকে অনেক দূরে ছিলেন।"
"বড়ো বড়ো পণ্ডিত ডাকা হল, যেখানে যত পুঁথি আছে তারা সব খুলে দেখলে।","বড় বড় পণ্ডিতদের ডাকা হতো, যারা সমস্ত বই খুলে দেখত।"
"কোথায় পাব, কী করে পাব, সেও কি একটা কথা!","আমি কোথায় পাব, কিভাবে পাব, সেও কি একটা জিনিস!"
তিনি স্থির করিয়াছেন তাঁহাকে ইচ্ছাপূর্বক অপমান করা হইয়াছে।,"তিনি সিদ্ধান্ত নিয়েছেন যে, তাকে ইচ্ছাকৃতভাবে অপমান করা হয়েছে।"
কিছুদিন আমার ক্লাসে মুখ দেখাবার জো রইল না।,কিছু সময়ের জন্য আমার ক্লাসে মুখ দেখানোর সুযোগ ছিল না।
"একদিন কী দুর্বুদ্ধি ঘটল, মনে হল, ফোর্ডকে যদি একটুখানি আভাস দিই যে, আমার উদ্দেশ্য নিজের উন্নতি করা নয়, দেশকে বাঁচানো, তা হলে স্বাধীনতাপূজারী আমেরিকার ধনসৃষ্টির জাদুকর বুঝি খুশি হবে, এমন-কি, আমার রাস্তা হয়তো করে দেবে প্রশস্ত।","কদিন আমি কী ভুল করলাম, আমি যদি ফোর্ডকে একটু ইঙ্গিত দেই যে আমার উদ্দেশ্য দেশকে র"
"যাই, আমাকে রাত্রে একটু পড়তে হবে।","যাই হোক, আমাকে রাতে একটু পড়তে হবে।"
"দেশে যত শিরোমণি চূড়ামণি আছে সবাইকে জিজ্ঞাসা করা গেল, ‘এমন হল কেন।","দেশে যত শিরোমণি আছে তাদের সবাইকে জিজ্ঞেস করা হলো, 'কেন এমন হল?"
"রসিকবাবু, আপনি আমাদের প্রতি অবিচার করবেন না– দায়ে পড়ে– রসিক।","রসিক বাবু, তুমি আমাদের প্রতি অন্যায় করবে না- এটা একটা দায়িত্ব-রসিক।"
"তুমি ভাবছ, নীলু লক্ষ্মীছাড়াকে নিয়ে তোমার বউদি রেগেই আছেন।",তুমি মনে করো তোমার বোন নিলু লক্ষ্মী ছাড়ার উপর রেগে আছে।
ওর ড্যাবা ড্যাবা চোখ দুটো দূরের থেকে লালায়িত স্পর্শে যেন আমার অপমান করে।,তার ড্যাবা ড্যাবা চোখ আমাকে দূর থেকে লাল স্পর্শে অপমান করে।
"পূর্বে রাত্রের প্রহরীদের বেতন কাটিয়াছিলেন, এখন তাহাদের প্রতি কারাবাসের আদেশ হইল।",এর আগে রাতের প্রহরীদের বেতন কেটে দেওয়া হয়েছিল আর এখন তাদের কারাদণ্ড দেওয়া হয়েছে।
সকাল হইতে ক্রমাগত টিপ টিপ করিয়া বৃষ্টি হইতেছে।,সকাল থেকে বৃষ্টি হচ্ছে।
বসন্ত রায়।,বসন্ত রায়।
অনায়াসে সব টাকাই নিয়ে আসতে পারত।,সব টাকাই সহজেই আনা যেত।
"যদি কিছু হয়–” প্রতাপাদিত্য বিরক্ত হইয়া কহিলেন, “হইবে আর কী?”","যদি কিছু ঘটে - প্রতাপাদিত্য বিরক্ত হয়ে বলেছিলেন, ""আর কী হবে?"""
শুনিয়া তাঁহার পক্ষে ধৈর্য রক্ষা করা একেবারে অসম্ভব হইল।,শুনে তার পক্ষে ধৈর্য ধরা অসম্ভব হয়ে পড়েছিল।
"আর-একটিবার, কেবল শেষবার, তেমনি করিয়া ভিতরে গিয়া ঘরের ছেলের মতো রাজলক্ষ্মীর সহিত কথা সারিয়া, একবার ঘোমটাবৃত আশাকে বোঠান বলিয়া দুটো তুচ্ছ কথা কহিয়া আসা তাহার কাছে পরম আকাঙ্ক্ষার বিষয় হইয়া উঠিল।","র একবার, শুধু শেষবারের মতো, সারিয়া বাড়ির ছেলের মতো, রাজুর সঙ্গে কথা বলার "
তবে ব্রাহ্মসমাজের যে দেবতাকে পানুবাবুর মতো লোকে পূজা করেন তিনি কি আর-এক জন কেহ?,"িন্তু পানুবাবুর মতো লোক যে ব্রাহ্ম সমাজের দেবতাকে পূজা করে, তিনি কি অন্য "
মহেন্দ্র।,মহেন্দ্র।
"তবুও বড়ো বয়সের মেয়ের সঙ্গে বাবা যে আমার বিবাহ দিলেন তাহার কারণ, মেয়ের বয়স বড়ো বলিয়াই পণের অঙ্কটাও বড়ো।","িন্তু, আমার বাবা যে একটা বড় মেয়ের সঙ্গে আমাকে বিয়ে করেছিলেন, সেটার কারণ হল, সেই মে"
এইটেকেই ওরা মনে করেছে নিদেন কালের লক্ষণ।,তারা এটাকেই নিদেন সময়ের চিহ্ন বলে মনে করেছিল।
"এই ওর অকৃত্রিম অবিবেক, এই যে উচিত-অনুচিতের বেড়া অনায়াসে লাফ দিয়ে ডিঙিয়ে চলা, এতেই মেয়েদের স্নেহ ওকে এত করে টানে।","ই তার আসল অবিবেক, যে কিনা সহজেই অনিচ্ছাকৃত বেড়ার উপর দিয়ে লাফ দিতে প"
বিপিন।,বিডেন।
"বহুদিন অনাদরের পর একটু আদর পাইলে যে অভিমান উথলিয়া উঠে, বিভা সেই অতিকোমল মৃদু অনন্তপ্রীতিপূর্ণ অভিমানে কাঁদিয়া ফেলিল।","নেকদিনের অবজ্ঞার পর একটু আদর পাওয়ার পর যে গর্ব জেগে ওঠে, বিভা সেই অতি "
"আনন্দময়ী মনে মনে ভাবিতে লাগিলেন, “আমার মন যে সমাজের সমস্ত সংস্কার কাটাইয়াছে সে তো কেবল ঐ গোরার স্নেহে।”","ুখী মনে তিনি ভাবতে শুরু করেন, ""আমার মন যে সমাজের সমস্ত সংস্কার সাধন করেছে তা কেবল "
পঞ্চু আমার মাস্টারমশায়ের একজন ভক্ত।,পঞ্চু আমার মাস্টারের ভক্ত।
তাতে ক্ষতি নেই।,এটা কোন ক্ষতি নয়।
কিন্তু বিহারীর মুখ আজ বিমর্ষ।,কিন্তু বিহারীর মুখ আজ বিষণ্ণ।
এখানে সবাই ধূসর আলোয় দিনের শেষ খেয়া পার হল।,এখানে সবাই ধূসর আলোয় দিনের শেষ ফেরি পার হলো।
"দাইকে বলত, ‘আহা দাই, মাথা খা, এই গাছের তলাটি খুঁড়ে দিয়ে রোজ একটু জল দিস।","িনি ডাইকে বলেছিলেন, ""আহ, মাই, মাথা খাও, এই গাছের তলা খুঁড়ে প্রতিদিন "
